Statistic,Name,Team,#,Top 25
Complete Games,Clayton Kershaw,Los Angeles,6,Top 25
ERA,Clayton Kershaw,Los Angeles,1.77,Top 25
Games,Will Smith,Milwaukee,78,Top 25
Tony Watson,Pittsburgh,,,
Saves,Craig Kimbrel,Atlanta,47,Top 25
Shutouts,Henderson Alvarez,Miami,4,Top 25
Strikeouts,Johnny Cueto,Cincinnati,242,Top 25
Stephen Strasburg,Washington,,,
Winning Percentage,Clayton Kershaw,Los Angeles,.875,Top 25
Wins,Clayton Kershaw,Los Angeles,21,Top 25
2014 N.L. History | 2014 A.L. History | Year-by-Year History,,,,
