Statistic,Name,Team,#,Top 25
Complete Games,Sandy Alcantara,Miami Marlins,2,Top 25
Walker Buehler,Los Angeles Dodgers,2,,
Zach Eflin,Philadelphia Phillies,2,,
ERA,Hyun-Jin Ryu,Los Angeles Dodgers,2.32,Top 25
Games,Alex Claudio,Milwaukee Brewers,83,Top 25
Saves,Kirby Yates,San Diego Padres,41,Top 25
Shutouts,Sandy Alcantara,Miami Marlins,2,Top 25
Strikeouts,Jacob deGrom,New York Mets,255,Top 25
Winning Percentage,Walker Buehler,Los Angeles Dodgers,.778,Top 25
Wins,Stephen Strasburg,Washington Nationals,18,Top 25
