Statistic,Name,Team,#,Top 25
Complete Games,Jake Arrieta,Chicago,4,Top 25
Madison Bumgarner,San Francisco,,,
Clayton Kershaw,Los Angeles,,,
Max Scherzer,Washington,,,
ERA,Zack Greinke,Los Angeles,1.66,Top 25
Games,Kevin Siegrist,St. Louis,81,Top 25
Saves,Mark Melancon,Pittsburgh,51,Top 25
Shutouts,Jake Arrieta,Chicago,3,Top 25
Clayton Kershaw,Los Angeles,,,
Max Scherzer,Washington,,,
Strikeouts,Clayton Kershaw,Los Angeles,301,Top 25
Winning Percentage,Zack Greinke,Los Angeles,.864,Top 25
Wins,Jake Arrieta,Chicago,22,Top 25
