Statistic,Name,Team,#,Top 25
Complete Games,Sandy Alcantara,Miami Marlins,3,Top 25
ERA,Blake Snell,San Diego Padres,2.25,Top 25
Games,Miguel Castro,Arizona Diamondbacks,75,Top 25
Saves,David Bednar,Pittsburgh Pirates,39,Top 25
Camilo Doval,San Francisco Giants,39,,
Shutouts,Sandy Alcantara,Miami Marlins,1,Top 25
Alex Cobb,San Francisco Giants,1,,
Max Fried,Atlanta Braves,1,,
Zac Gallen,Arizona Diamondbacks,1,,
Mitch Keller,Pittsburgh Pirates,1,,
Michael Lorenzen,Philadelphia Phillies,1,,
Johan Oviedo,Pittsburgh Pirates,1,,
Marcus Stroman,Chicago Cubs,1,,
Logan Webb,San Francisco Giants,1,,
Brandon Woodruff,Milwaukee Brewers,1,,
Strikeouts,Spencer Strider,Atlanta Braves,281,Top 25
Winning Percentage,Spencer Strider,Atlanta Braves,.800,Top 25
Wins,Spencer Strider,Atlanta Braves,20,Top 25
2023 N.L. History | 2023 A.L. History | Year-by-Year History,,,,
