Statistic,Name,Team,#,Top 25
Complete Games,R.A. Dickey,New York,5,Top 25
ERA,Clayton Kershaw,Los Angeles,2.53,Top 25
Games,Matt Belisle,Colorado,80,Top 25
Shawn Camp,Chicago,,,
Randy Choate,Miami / Los Angeles,,,
Saves,Craig Kimbrel,Atlanta,42,Top 25
Jason Motte,St. Louis,,,
Shutouts,R.A. Dickey,New York,3,Top 25
Strikeouts,R.A. Dickey,New York,230,Top 25
Winning Percentage,Kyle Lohse,St. Louis,.842,Top 25
Wins,Gio Gonzalez,Washington,21,Top 25
2012 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,,
