Statistic,Name,Team,#,Top 25
Complete Games,Adam Wainwright,St. Louis,4,Top 25
Jordan Zimmermann,Washington,,,
ERA,Clayton Kershaw,Los Angeles,1.83,Top 25
Games,Brad Ziegler,Arizona,78,Top 25
Saves,Craig Kimbrel,Atlanta,50,Top 25
Shutouts,Clayton Kershaw,Los Angeles,3,Top 25
Adam Wainwright,St. Louis,,,
Jordan Zimmermann,Washington,,,
Strikeouts,Clayton Kershaw,Los Angeles,232,Top 25
Winning Percentage,Zack Greinke,Los Angeles,.789,Top 25
Wins,Adam Wainwright,St. Louis,19,Top 25
Jordan Zimmermann,Washington,,,
