Team | Roster,W,L,T,WP,GB
Philadelphia Phillies,47,31,0,.603,-
New York Mets,46,32,0,.590,1.0
Atlanta Braves,35,41,0,.461,11.0
Washington Nationals,32,46,0,.410,15.0
Miami Marlins,31,45,0,.408,15.0
Chicago Cubs,46,31,0,.597,-
Milwaukee Brewers,43,35,0,.551,3.5
St. Louis Cardinals,42,36,0,.538,4.5
Cincinnati Reds,40,38,0,.513,6.5
Pittsburgh Pirates,31,48,0,.392,16.0
Los Angeles Dodgers,48,31,0,.608,-
San Francisco Giants,44,34,0,.564,3.5
San Diego Padres,42,35,0,.545,5.0
Arizona Diamondbacks,39,38,0,.506,8.0
Colorado Rockies,18,60,0,.231,29.5
2025 National League Standings,,,,,
